anchor_position,pre_anchor_state_correct,post_1_correct,post_3_correct,post_5_correct
8,True,True,True,True
30,True,True,True,True
44,True,True,True,True
46,True,True,True,True
56,True,True,True,True
61,True,True,False,True
62,True,True,False,True
63,True,False,True,True
65,False,True,True,True
66,False,True,True,False
69,True,True,True,True
73,True,True,True,False
99,False,False,False,False
118,True,True,False,True
119,True,True,True,True
120,True,False,True,True
125,True,True,True,True
131,True,True,True,True
133,True,True,True,True
135,True,True,True,True
139,True,True,True,True
141,True,True,True,True
142,True,True,True,True
143,True,True,True,True
146,True,True,True,True
147,True,True,True,True
148,True,True,True,True
150,True,True,True,True
153,True,True,True,True
155,True,True,True,True
158,False,True,True,True
160,True,True,True,True
161,True,False,False,True
167,True,True,True,True
170,True,True,True,True
174,True,True,True,True
180,True,False,False,False
196,False,False,True,False
199,True,True,True,True
204,True,True,True,True
224,True,True,True,True
227,False,True,True,True
228,True,True,True,True
229,True,True,True,True
233,True,True,True,True
235,True,True,True,True
237,True,True,True,True
239,True,True,True,True
241,True,True,True,True
245,True,True,True,True
246,True,False,True,True
248,False,True,True,True
250,True,True,True,False
254,True,False,True,True
257,True,True,True,True
258,True,True,False,False
267,True,True,True,False
273,False,True,True,True
283,True,True,True,True
285,True,True,True,True
287,True,True,True,True
289,True,True,True,True
290,True,True,True,True
293,True,True,True,True
297,True,True,True,True
300,True,True,True,True
302,True,True,True,True
306,True,True,True,True
310,True,True,True,True
314,True,True,True,True
316,True,True,True,True
320,True,True,True,True
321,True,True,True,True
325,True,True,True,True
328,True,True,True,True
329,True,True,True,True
335,True,True,True,True
338,True,True,True,True
342,True,True,True,True
345,True,False,True,True
349,True,True,False,False
358,False,True,True,True
367,True,False,True,True
372,True,False,True,True
379,True,True,True,True
381,True,True,True,True
386,False,False,True,True
387,True,True,True,False
397,True,True,False,False
403,False,False,False,False
411,True,True,False,True
422,True,True,True,True
424,True,True,True,True
426,True,True,True,True
428,True,True,True,True
438,True,True,False,True
447,True,True,False,False
453,False,True,True,True
457,True,True,False,True
464,True,True,True,True
467,True,False,True,True
470,True,True,True,True
474,True,True,True,True
476,True,True,True,True
477,True,True,True,True
489,True,True,True,True
493,True,True,True,True
494,True,True,True,True
496,True,True,True,True
499,True,True,True,True
514,True,True,True,True
516,True,True,True,True
518,True,True,True,True
521,True,True,True,True
523,True,True,True,True
524,True,True,False,True
525,True,True,True,True
526,True,False,True,True
540,True,True,True,True
545,True,True,True,True
549,True,True,True,True
551,True,True,True,True
552,True,True,True,True
553,True,True,True,True
555,True,True,True,True
558,True,True,True,True
563,True,True,True,True
566,True,True,True,True
569,True,True,True,True
573,True,True,True,True
583,False,False,False,False
596,False,False,False,False
602,False,True,False,True
609,False,False,False,True
613,False,True,False,True
614,True,False,True,False
618,True,False,False,False
627,True,False,False,False
642,False,True,True,True
647,False,False,False,False
649,False,False,False,True
656,False,False,True,True
661,False,False,True,False
681,False,False,True,False
690,True,True,False,False
694,False,False,,
7,True,True,True,True
15,True,True,True,True
16,True,False,True,False
19,True,True,True,True
20,True,False,False,False
44,True,False,True,True
46,False,True,True,True
50,True,True,False,True
59,True,True,True,True
62,True,True,True,True
63,True,True,True,True
64,True,True,True,True
65,True,True,True,True
72,True,True,True,True
87,False,False,True,True
96,True,False,False,False
102,False,False,False,True
104,False,False,True,True
116,True,True,True,True
122,True,True,True,True
152,True,True,True,True
154,True,True,True,True
164,True,True,True,True
167,False,True,True,True
174,True,True,True,True
175,True,True,True,True
183,True,True,True,True
188,True,True,True,True
190,True,True,True,True
203,True,True,True,False
205,True,True,False,True
209,False,True,True,True
221,True,True,True,True
223,True,True,True,True
232,True,True,True,True
233,True,True,True,True
237,True,True,True,True
281,True,True,True,True
283,True,True,True,True
288,False,True,False,False
296,True,True,False,False
297,True,True,False,True
302,False,False,False,False
308,False,True,True,True
315,True,True,True,True
321,True,False,True,False
323,False,True,False,True
329,True,True,True,True
331,True,True,True,True
333,True,True,True,True
339,True,True,True,True
350,True,True,True,True
351,True,True,True,True
368,False,True,True,True
370,True,True,True,True
375,True,True,True,True
387,True,True,True,False
402,True,True,True,True
416,False,True,True,True
418,True,True,True,True
420,True,True,True,False
424,True,False,True,True
432,True,True,True,True
434,True,True,True,True
436,True,True,True,True
439,True,True,True,True
451,True,True,False,False
464,True,True,True,True
468,True,True,True,True
475,False,False,False,False
477,False,False,False,False
479,False,False,False,True
484,False,False,True,True
488,True,True,True,True
492,True,True,True,True
494,True,True,True,True
500,True,True,True,True
506,True,True,True,True
508,True,True,True,False
528,True,True,True,True
532,True,True,False,True
41,False,False,False,True
80,True,True,False,False
81,True,True,True,False
122,False,False,False,False
143,False,False,False,True
198,False,False,False,False
213,True,True,True,True
232,True,True,False,True
284,True,False,True,True
478,False,False,False,False
521,False,False,False,False
742,False,True,True,True
745,True,True,True,True
837,True,False,False,True
841,False,True,False,False
860,True,True,True,True
879,False,False,False,False
934,False,False,False,False
957,True,False,True,True
1211,True,True,True,True
